HGNC ID	Approved name	Ensembl ID(supplied by Ensembl)
HGNC:29601	chromosome 17 open reading frame 80	ENSG00000141219
HGNC:26206	chromosome 17 open reading frame 84	
HGNC:33800	chromosome 17 open reading frame 97	ENSG00000187624
HGNC:34492	chromosome 17 open reading frame 98	ENSG00000275489
HGNC:34490	chromosome 17 open reading frame 99	ENSG00000187997
HGNC:34494	chromosome 17 open reading frame 100	ENSG00000256806
HGNC:37238	chromosome 17 open reading frame 107	ENSG00000205710
HGNC:53437	chromosome 17 open reading frame 113	ENSG00000267221
HGNC:55343	chromosome 17 open reading frame 114	
HGNC:14200	symbol withdrawn, see [HGNC:24121](/data/gene-symbol-report/#!/hgnc_id/HGNC:24121)	
HGNC:24918	chromosome 18 open reading frame 12	ENSG00000280197
HGNC:26447	chromosome 18 putative open reading frame 15	ENSG00000279020
HGNC:28802	chromosome 18 open reading frame 21	ENSG00000141428
HGNC:28172	chromosome 18 open reading frame 25	ENSG00000152242
HGNC:31690	chromosome 18 open reading frame 32	ENSG00000177576
HGNC:31691	chromosome 18 open reading frame 33	
HGNC:29311	chromosome 18 open reading frame 41	
HGNC:25977	symbol withdrawn, see [HGNC:22916](/data/gene-symbol-report/#!/hgnc_id/HGNC:22916)	
HGNC:31727	chromosome 18 open reading frame 50	
HGNC:13796	chromosome 18 open reading frame 54	ENSG00000166845
HGNC:25254	chromosome 18 open reading frame 57	
HGNC:26631	symbol withdrawn, see [HGNC:26270](/data/gene-symbol-report/#!/hgnc_id/HGNC:26270)	
HGNC:26362	chromosome 18 open reading frame 61	
HGNC:40037	chromosome 18 open reading frame 63	ENSG00000206043
HGNC:17974	chromosome 19 open reading frame 8	
HGNC:20172	symbol withdrawn, see [HGNC:13175](/data/gene-symbol-report/#!/hgnc_id/HGNC:13175)	
HGNC:25443	chromosome 19 open reading frame 12	ENSG00000131943
HGNC:25293	symbol withdrawn, see [HGNC:23114](/data/gene-symbol-report/#!/hgnc_id/HGNC:23114)	
HGNC:28642	chromosome 19 open reading frame 18	ENSG00000177025
HGNC:26711	chromosome 19 open reading frame 25	ENSG00000119559
HGNC:17573	chromosome 19 open reading frame 31	
HGNC:16668	chromosome 19 open reading frame 33	ENSG00000167644
HGNC:34073	chromosome 19 open reading frame 38	ENSG00000214212
HGNC:26141	chromosome 19 open reading frame 44	ENSG00000105072
HGNC:26723	chromosome 19 open reading frame 47	ENSG00000160392
HGNC:29667	chromosome 19 open reading frame 48	ENSG00000167747
HGNC:24901	symbol withdrawn, see [HGNC:3233](/data/gene-symbol-report/#!/hgnc_id/HGNC:3233)	
HGNC:24991	chromosome 19 open reading frame 53	ENSG00000104979
HGNC:24758	chromosome 19 open reading frame 54	ENSG00000188493
HGNC:33549	symbol withdrawn, see [HGNC:18183](/data/gene-symbol-report/#!/hgnc_id/HGNC:18183)	
HGNC:34354	chromosome 19 open reading frame 67	ENSG00000188032
HGNC:34496	chromosome 19 open reading frame 71	ENSG00000183397
HGNC:25534	chromosome 19 open reading frame 73	ENSG00000221916
HGNC:40041	chromosome 19 open reading frame 81	ENSG00000235034
HGNC:27112	chromosome 19 open reading frame 84	ENSG00000262874
HGNC:53653	chromosome 19 open reading frame 85	ENSG00000283567
HGNC:1250	symbol withdrawn, see [HGNC:1249](/data/gene-symbol-report/#!/hgnc_id/HGNC:1249)	
HGNC:15896	symbol withdrawn, see [HGNC:17117](/data/gene-symbol-report/#!/hgnc_id/HGNC:17117)	
HGNC:15863	symbol withdrawn, see [HGNC:13010](/data/gene-symbol-report/#!/hgnc_id/HGNC:13010)	
HGNC:15871	symbol withdrawn, see [HGNC:13251](/data/gene-symbol-report/#!/hgnc_id/HGNC:13251)	
HGNC:15873	chromosome 20 open reading frame 27	ENSG00000101220
HGNC:15883	symbol withdrawn, see [HGNC:6176](/data/gene-symbol-report/#!/hgnc_id/HGNC:6176)	
HGNC:15884	symbol withdrawn, see [HGNC:16253](/data/gene-symbol-report/#!/hgnc_id/HGNC:16253)	
HGNC:15895	symbol withdrawn, see [HGNC:15877](/data/gene-symbol-report/#!/hgnc_id/HGNC:15877)	
HGNC:16190	symbol withdrawn, see [HGNC:16236](/data/gene-symbol-report/#!/hgnc_id/HGNC:16236)	
HGNC:16199	chromosome 20 open reading frame 66	
HGNC:16215	symbol withdrawn, see [HGNC:15858](/data/gene-symbol-report/#!/hgnc_id/HGNC:15858)	
HGNC:16216	chromosome 20 open reading frame 85	ENSG00000124237
HGNC:16220	chromosome 20 open reading frame 89	
HGNC:16227	chromosome 20 open reading frame 96	ENSG00000196476
HGNC:16103	chromosome 20 open reading frame 109	
HGNC:16107	symbol withdrawn, see [HGNC:16106](/data/gene-symbol-report/#!/hgnc_id/HGNC:16106)	
HGNC:16117	symbol withdrawn, see [HGNC:15801](/data/gene-symbol-report/#!/hgnc_id/HGNC:15801)	
HGNC:16124	symbol withdrawn, see [HGNC:16125](/data/gene-symbol-report/#!/hgnc_id/HGNC:16125)	
HGNC:16134	chromosome 20 open reading frame 141	ENSG00000258713
HGNC:16137	chromosome 20 open reading frame 144	ENSG00000149609
HGNC:16138	symbol withdrawn, see [HGNC:16527](/data/gene-symbol-report/#!/hgnc_id/HGNC:16527)	
HGNC:16141	symbol withdrawn, see [HGNC:11298](/data/gene-symbol-report/#!/hgnc_id/HGNC:11298)	
HGNC:16146	symbol withdrawn, see [HGNC:15478](/data/gene-symbol-report/#!/hgnc_id/HGNC:15478)	
HGNC:16149	symbol withdrawn, see [HGNC:17329](/data/gene-symbol-report/#!/hgnc_id/HGNC:17329)	
HGNC:16150	symbol withdrawn, see [HGNC:34344](/data/gene-symbol-report/#!/hgnc_id/HGNC:34344)	
HGNC:16151	symbol withdrawn, see [HGNC:2680](/data/gene-symbol-report/#!/hgnc_id/HGNC:2680)	
HGNC:16152	symbol withdrawn, see [HGNC:23062](/data/gene-symbol-report/#!/hgnc_id/HGNC:23062)	
HGNC:16166	chromosome 20 open reading frame 173	ENSG00000125975
HGNC:16169	symbol withdrawn, see [HGNC:16168](/data/gene-symbol-report/#!/hgnc_id/HGNC:16168)	
HGNC:16174	chromosome 20 open reading frame 181	ENSG00000279610
HGNC:17114	symbol withdrawn, see [HGNC:15755](/data/gene-symbol-report/#!/hgnc_id/HGNC:15755)	
HGNC:17115	symbol withdrawn, see [HGNC:14045](/data/gene-symbol-report/#!/hgnc_id/HGNC:14045)	
HGNC:37254	chromosome 20 open reading frame 202	ENSG00000215595
HGNC:26592	chromosome 20 open reading frame 203	ENSG00000198547
HGNC:27655	chromosome 20 open reading frame 204	ENSG00000196421
HGNC:1251	symbol withdrawn, see [HGNC:13524](/data/gene-symbol-report/#!/hgnc_id/HGNC:13524)	
HGNC:1269	symbol withdrawn, see [HGNC:13524](/data/gene-symbol-report/#!/hgnc_id/HGNC:13524)	
HGNC:1252	symbol withdrawn, see [HGNC:13082](/data/gene-symbol-report/#!/hgnc_id/HGNC:13082)	
HGNC:1254	chromosome 21 open reading frame 12	
HGNC:1256	symbol withdrawn, see [HGNC:16459](/data/gene-symbol-report/#!/hgnc_id/HGNC:16459)	
HGNC:1257	symbol withdrawn, see [HGNC:2647](/data/gene-symbol-report/#!/hgnc_id/HGNC:2647)	
HGNC:1259	symbol withdrawn, see [HGNC:23274](/data/gene-symbol-report/#!/hgnc_id/HGNC:23274)	
HGNC:1267	symbol withdrawn, see [HGNC:1258](/data/gene-symbol-report/#!/hgnc_id/HGNC:1258)	
HGNC:1272	chromosome 21 open reading frame 32	
HGNC:1275	symbol withdrawn, see [HGNC:1274](/data/gene-symbol-report/#!/hgnc_id/HGNC:1274)	
HGNC:1278	symbol withdrawn, see [HGNC:16459](/data/gene-symbol-report/#!/hgnc_id/HGNC:16459)	
HGNC:1281	chromosome 21 open reading frame 40	
HGNC:1284	symbol withdrawn, see [HGNC:14686](/data/gene-symbol-report/#!/hgnc_id/HGNC:14686)	
HGNC:1287	symbol withdrawn, see [HGNC:1286](/data/gene-symbol-report/#!/hgnc_id/HGNC:1286)	
HGNC:1289	symbol withdrawn, see [HGNC:1301](/data/gene-symbol-report/#!/hgnc_id/HGNC:1301)	
HGNC:1292	symbol withdrawn, see [HGNC:11183](/data/gene-symbol-report/#!/hgnc_id/HGNC:11183)	
HGNC:1295	chromosome 21 open reading frame 53	
HGNC:1300	chromosome 21 open reading frame 58	ENSG00000160298
HGNC:1303	symbol withdrawn, see [HGNC:2993](/data/gene-symbol-report/#!/hgnc_id/HGNC:2993)	
HGNC:1305	chromosome 21 open reading frame 62	ENSG00000205929
HGNC:1290	C21orf62 antisense RNA 1	ENSG00000205930
HGNC:13560	symbol withdrawn, see [HGNC:13239](/data/gene-symbol-report/#!/hgnc_id/HGNC:13239)	
HGNC:13577	symbol withdrawn, see [HGNC:16707](/data/gene-symbol-report/#!/hgnc_id/HGNC:16707)	
HGNC:15705	symbol withdrawn, see [HGNC:17807](/data/gene-symbol-report/#!/hgnc_id/HGNC:17807)	
HGNC:15709	symbol withdrawn, see [HGNC:15707](/data/gene-symbol-report/#!/hgnc_id/HGNC:15707)	
HGNC:16026	chromosome 21 open reading frame 72	
HGNC:16340	chromosome 21 open reading frame 79	
HGNC:16413	symbol withdrawn, see [HGNC:42024](/data/gene-symbol-report/#!/hgnc_id/HGNC:42024)	
HGNC:16415	symbol withdrawn, see [HGNC:13999](/data/gene-symbol-report/#!/hgnc_id/HGNC:13999)	
HGNC:16419	symbol withdrawn, see [HGNC:16417](/data/gene-symbol-report/#!/hgnc_id/HGNC:16417)	
HGNC:54202	chromosome 21 open reading frame 86	
HGNC:16459	chromosome 21 open reading frame 91	ENSG00000154642
HGNC:16729	C21orf91 overlapping transcript 1	ENSG00000240770
HGNC:16619	symbol withdrawn, see [HGNC:16274](/data/gene-symbol-report/#!/hgnc_id/HGNC:16274)	
HGNC:16624	symbol withdrawn, see [HGNC:8819](/data/gene-symbol-report/#!/hgnc_id/HGNC:8819)	
HGNC:16625	symbol withdrawn, see [HGNC:13082](/data/gene-symbol-report/#!/hgnc_id/HGNC:13082)	
HGNC:17140	symbol withdrawn, see [HGNC:14051](/data/gene-symbol-report/#!/hgnc_id/HGNC:14051)	
HGNC:17141	symbol withdrawn, see [HGNC:14965](/data/gene-symbol-report/#!/hgnc_id/HGNC:14965)	
HGNC:17235	symbol withdrawn, see [HGNC:12760](/data/gene-symbol-report/#!/hgnc_id/HGNC:12760)	
HGNC:19724	symbol withdrawn, see [HGNC:1623](/data/gene-symbol-report/#!/hgnc_id/HGNC:1623)	
HGNC:19726	chromosome 21 open reading frame 114	
HGNC:19746	symbol withdrawn, see [HGNC:14616](/data/gene-symbol-report/#!/hgnc_id/HGNC:14616)	
HGNC:17285	chromosome 21 open reading frame 116	
HGNC:23127	chromosome 21 open reading frame 118	
HGNC:23129	symbol withdrawn, see [HGNC:1305](/data/gene-symbol-report/#!/hgnc_id/HGNC:1305)	
HGNC:19728	symbol withdrawn, see [HGNC:8819](/data/gene-symbol-report/#!/hgnc_id/HGNC:8819)	
HGNC:1311	symbol withdrawn, see [HGNC:10699](/data/gene-symbol-report/#!/hgnc_id/HGNC:10699)	
HGNC:12402	symbol withdrawn, see [HGNC:1312](/data/gene-symbol-report/#!/hgnc_id/HGNC:1312)	
HGNC:14238	symbol withdrawn, see [HGNC:2847](/data/gene-symbol-report/#!/hgnc_id/HGNC:2847)	
HGNC:15558	chromosome 22 open reading frame 15	ENSG00000169314
HGNC:16819	symbol withdrawn, see [HGNC:19074](/data/gene-symbol-report/#!/hgnc_id/HGNC:19074)	
HGNC:18589	chromosome 22 open reading frame 23	ENSG00000128346
HGNC:26931	chromosome 22 open reading frame 31	ENSG00000100249
HGNC:32959	symbol withdrawn, see [HGNC:33425](/data/gene-symbol-report/#!/hgnc_id/HGNC:33425)	
HGNC:27012	chromosome 22 open reading frame 39	ENSG00000242259
HGNC:27160	chromosome 22 open reading frame 42	ENSG00000205856
HGNC:26294	chromosome 22 putative open reading frame 46	ENSG00000184208
HGNC:1368	carbonic anhydrase 1	ENSG00000133742
HGNC:1373	carbonic anhydrase 2	ENSG00000104267
HGNC:1374	carbonic anhydrase 3	ENSG00000164879
HGNC:51657	CA3 antisense RNA 1	ENSG00000253549
HGNC:1375	carbonic anhydrase 4	ENSG00000167434
HGNC:1376	symbol withdrawn, see [HGNC:1377](/data/gene-symbol-report/#!/hgnc_id/HGNC:1377)	
HGNC:1377	carbonic anhydrase 5A	ENSG00000174990
HGNC:1379	carbonic anhydrase 5A pseudogene 1	ENSG00000260133
HGNC:1378	carbonic anhydrase 5B	ENSG00000169239
HGNC:40115	CA5B antisense RNA 1	
HGNC:29544	carbonic anhydrase 5B pseudogene 1	ENSG00000186312
HGNC:1380	carbonic anhydrase 6	ENSG00000131686
HGNC:1381	carbonic anhydrase 7	ENSG00000168748
HGNC:1382	carbonic anhydrase 8	ENSG00000178538
HGNC:1383	carbonic anhydrase 9	ENSG00000107159
HGNC:1369	carbonic anhydrase 10	ENSG00000154975
HGNC:1370	carbonic anhydrase 11	ENSG00000063180
HGNC:1371	carbonic anhydrase 12	ENSG00000074410
HGNC:14914	carbonic anhydrase 13	ENSG00000185015
HGNC:1372	carbonic anhydrase 14	ENSG00000118298
HGNC:44364	CA15 pseudogene 1	ENSG00000241527
HGNC:14916	CA15 pseudogene 2	ENSG00000273907
HGNC:44363	CA15 pseudogene 3	
HGNC:25834	caspase activity and apoptosis inhibitor 1	ENSG00000120159
HGNC:20292	calcium binding protein 39	ENSG00000135932
HGNC:20290	calcium binding protein 39 like	ENSG00000102547
HGNC:51641	calcium binding protein 39 pseudogene 1	ENSG00000251303
HGNC:28678	ciliary associated calcium binding coiled-coil 1	ENSG00000183346
HGNC:24187	calcineurin binding protein 1	ENSG00000099991
HGNC:25097	Cdk5 and Abl enzyme substrate 1	ENSG00000134508
HGNC:28686	Cdk5 and Abl enzyme substrate 1-like	
HGNC:16143	Cdk5 and Abl enzyme substrate 2	ENSG00000149679
HGNC:1384	calcium binding protein 1	ENSG00000157782
HGNC:55491	CABP1 divergent transcript	
HGNC:1385	calcium binding protein 2	ENSG00000167791
HGNC:15960	symbol withdrawn, see [HGNC:13714](/data/gene-symbol-report/#!/hgnc_id/HGNC:13714)	
HGNC:1386	calcium binding protein 4	ENSG00000175544
HGNC:13714	calcium binding protein 5	ENSG00000105507
HGNC:20834	calcium binding protein 7	ENSG00000100314
HGNC:30710	calcium binding protein, spermatid associated 1	ENSG00000145309
HGNC:15569	calcium binding tyrosine phosphorylation regulated	ENSG00000154040
HGNC:31902	calcium binding tyrosine phosphorylation regulated pseudogene 1	ENSG00000242983
HGNC:1387	central areolar choroidal dystrophy	
HGNC:1365	calcium channel flower domain containing 1	ENSG00000160325
HGNC:29314	cache domain containing 1	ENSG00000158966
HGNC:1388	calcium voltage-gated channel subunit alpha1 A	ENSG00000141837
HGNC:1389	calcium voltage-gated channel subunit alpha1 B	ENSG00000148408
HGNC:1390	calcium voltage-gated channel subunit alpha1 C	ENSG00000151067
HGNC:40119	CACNA1C antisense RNA 1	ENSG00000246627
HGNC:40118	CACNA1C antisense RNA 2	ENSG00000256271
HGNC:40117	CACNA1C antisense RNA 3	ENSG00000256769
HGNC:40116	CACNA1C antisense RNA 4	ENSG00000256025
HGNC:41312	CACNA1C intronic transcript 1	ENSG00000256837
HGNC:41313	CACNA1C intronic transcript 2	ENSG00000256257
HGNC:41314	CACNA1C intronic transcript 3	ENSG00000256721
HGNC:1391	calcium voltage-gated channel subunit alpha1 D	ENSG00000157388
HGNC:1392	calcium voltage-gated channel subunit alpha1 E	ENSG00000198216
HGNC:1393	calcium voltage-gated channel subunit alpha1 F	ENSG00000102001
HGNC:1394	calcium voltage-gated channel subunit alpha1 G	ENSG00000006283
HGNC:27377	CACNA1G antisense RNA 1	ENSG00000250107
HGNC:1395	calcium voltage-gated channel subunit alpha1 H	ENSG00000196557
HGNC:1396	calcium voltage-gated channel subunit alpha1 I	ENSG00000100346
HGNC:1397	calcium voltage-gated channel subunit alpha1 S	ENSG00000081248
HGNC:1398	symbol withdrawn, see [HGNC:1399](/data/gene-symbol-report/#!/hgnc_id/HGNC:1399)	
HGNC:1399	calcium voltage-gated channel auxiliary subunit alpha2delta 1	ENSG00000153956
HGNC:40120	CACNA2D1 antisense RNA 1	ENSG00000223770
HGNC:1400	calcium voltage-gated channel auxiliary subunit alpha2delta 2	ENSG00000007402
HGNC:15460	calcium voltage-gated channel auxiliary subunit alpha2delta 3	ENSG00000157445
HGNC:40702	CACNA2D3 antisense RNA 1	ENSG00000243715
HGNC:20202	calcium voltage-gated channel auxiliary subunit alpha2delta 4	ENSG00000151062
HGNC:1401	calcium voltage-gated channel auxiliary subunit beta 1	ENSG00000067191
HGNC:1402	calcium voltage-gated channel auxiliary subunit beta 2	ENSG00000165995
HGNC:1403	calcium voltage-gated channel auxiliary subunit beta 3	ENSG00000167535
HGNC:1404	calcium voltage-gated channel auxiliary subunit beta 4	ENSG00000182389
HGNC:1405	calcium voltage-gated channel auxiliary subunit gamma 1	ENSG00000108878
HGNC:1406	calcium voltage-gated channel auxiliary subunit gamma 2	ENSG00000166862
HGNC:1407	calcium voltage-gated channel auxiliary subunit gamma 3	ENSG00000006116
HGNC:1408	calcium voltage-gated channel auxiliary subunit gamma 4	ENSG00000075461
HGNC:1409	calcium voltage-gated channel auxiliary subunit gamma 5	ENSG00000075429
HGNC:13625	calcium voltage-gated channel auxiliary subunit gamma 6	ENSG00000130433
HGNC:13626	calcium voltage-gated channel auxiliary subunit gamma 7	ENSG00000105605
HGNC:13628	calcium voltage-gated channel auxiliary subunit gamma 8	ENSG00000142408
HGNC:1410	symbol withdrawn, see [HGNC:1390](/data/gene-symbol-report/#!/hgnc_id/HGNC:1390)	
HGNC:1411	symbol withdrawn, see [HGNC:1391](/data/gene-symbol-report/#!/hgnc_id/HGNC:1391)	
HGNC:1412	symbol withdrawn, see [HGNC:1397](/data/gene-symbol-report/#!/hgnc_id/HGNC:1397)	
HGNC:1413	symbol withdrawn, see [HGNC:1388](/data/gene-symbol-report/#!/hgnc_id/HGNC:1388)	
HGNC:1414	symbol withdrawn, see [HGNC:1389](/data/gene-symbol-report/#!/hgnc_id/HGNC:1389)	
HGNC:1415	symbol withdrawn, see [HGNC:1392](/data/gene-symbol-report/#!/hgnc_id/HGNC:1392)	
HGNC:1416	symbol withdrawn, see [HGNC:1399](/data/gene-symbol-report/#!/hgnc_id/HGNC:1399)	
HGNC:1417	symbol withdrawn, see [HGNC:1401](/data/gene-symbol-report/#!/hgnc_id/HGNC:1401)	
HGNC:1418	symbol withdrawn, see [HGNC:1402](/data/gene-symbol-report/#!/hgnc_id/HGNC:1402)	
HGNC:1419	symbol withdrawn, see [HGNC:1403](/data/gene-symbol-report/#!/hgnc_id/HGNC:1403)	
HGNC:1420	symbol withdrawn, see [HGNC:9364](/data/gene-symbol-report/#!/hgnc_id/HGNC:9364)	
HGNC:14413	symbol withdrawn, see [HGNC:1421](/data/gene-symbol-report/#!/hgnc_id/HGNC:1421)	
HGNC:29938	cactin, spliceosome C complex subunit	ENSG00000105298
HGNC:31391	CACTIN antisense RNA 1	ENSG00000226800
HGNC:14414	symbol withdrawn, see [HGNC:1422](/data/gene-symbol-report/#!/hgnc_id/HGNC:1422)	
HGNC:23727	CDK2 associated cullin domain 1	ENSG00000151893
HGNC:1423	symbol withdrawn, see [HGNC:10496](/data/gene-symbol-report/#!/hgnc_id/HGNC:10496)	
HGNC:30423	calcyclin binding protein	ENSG00000116161
HGNC:45122	calcyclin binding protein pseudogene 1	ENSG00000225928
HGNC:45123	calcyclin binding protein pseudogene 2	ENSG00000177855
HGNC:45124	calcyclin binding protein pseudogene 3	ENSG00000219188
HGNC:1424	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	ENSG00000084774
HGNC:1425	symbol withdrawn, see [HGNC:7883](/data/gene-symbol-report/#!/hgnc_id/HGNC:7883)	
HGNC:5951	cell adhesion molecule 1	ENSG00000182985
HGNC:29849	cell adhesion molecule 2	ENSG00000175161
HGNC:41248	CADM2 antisense RNA 1	ENSG00000239519
HGNC:41247	CADM2 antisense RNA 2	ENSG00000241648
HGNC:17601	cell adhesion molecule 3	ENSG00000162706
HGNC:40812	CADM3 antisense RNA 1	ENSG00000225670
HGNC:30825	cell adhesion molecule 4	ENSG00000105767
HGNC:1426	calcium dependent secretion activator	ENSG00000163618
HGNC:16018	calcium dependent secretion activator 2	ENSG00000081803
HGNC:1427	symbol withdrawn, see [HGNC:4281](/data/gene-symbol-report/#!/hgnc_id/HGNC:4281)	
HGNC:1428	symbol withdrawn, see [HGNC:2659](/data/gene-symbol-report/#!/hgnc_id/HGNC:2659)	
HGNC:1429	symbol withdrawn, see [HGNC:10498](/data/gene-symbol-report/#!/hgnc_id/HGNC:10498)	
HGNC:1430	symbol withdrawn, see [HGNC:10499](/data/gene-symbol-report/#!/hgnc_id/HGNC:10499)	
HGNC:21622	cancer antigen 1	ENSG00000164304
HGNC:42860	colon adenocarcinoma hypermethylated	ENSG00000270419
HGNC:1431	symbol withdrawn, see [HGNC:2730](/data/gene-symbol-report/#!/hgnc_id/HGNC:2730)	
HGNC:1432	symbol withdrawn, see [HGNC:537](/data/gene-symbol-report/#!/hgnc_id/HGNC:537)	
HGNC:1433	symbol withdrawn, see [HGNC:10487](/data/gene-symbol-report/#!/hgnc_id/HGNC:10487)	
HGNC:1434	calbindin 1	ENSG00000104327
HGNC:1435	calbindin 2	ENSG00000172137
HGNC:1437	calcitonin related polypeptide alpha	ENSG00000110680
HGNC:1438	calcitonin related polypeptide beta	ENSG00000175868
HGNC:29306	calcium binding and coiled-coil domain 1	ENSG00000012822
HGNC:29912	calcium binding and coiled-coil domain 2	ENSG00000136436
HGNC:1439	calcitonin pseudogene	ENSG00000253179
HGNC:1440	calcitonin receptor	ENSG00000004948
HGNC:16709	calcitonin receptor like receptor	ENSG00000064989
HGNC:1441	caldesmon 1	ENSG00000122786
HGNC:23494	calcium homeostasis modulator 1	ENSG00000185933
HGNC:23493	calcium homeostasis modulator family member 2	ENSG00000138172
HGNC:23458	calcium homeostasis modulator 3	ENSG00000183128
HGNC:21094	calcium homeostasis modulator family member 4	ENSG00000164451
HGNC:21568	calcium homeostasis modulator family member 5	ENSG00000178033
HGNC:33391	calcium homeostasis modulator family member 6	ENSG00000188820
HGNC:40971	CALHM6 antisense RNA 1	ENSG00000244158
HGNC:1442	calmodulin 1	ENSG00000198668
HGNC:1443	calmodulin 1 pseudogene 1	ENSG00000223467
HGNC:1444	calmodulin 1 pseudogene 2	ENSG00000230564
HGNC:1445	calmodulin 2	ENSG00000143933
HGNC:1446	calmodulin 2 pseudogene 1	ENSG00000267170
HGNC:1447	calmodulin 2 pseudogene 2	ENSG00000229097
HGNC:1448	calmodulin 2 pseudogene 3	ENSG00000215482
HGNC:39661	calmodulin 2 pseudogene 4	ENSG00000233662
HGNC:1449	calmodulin 3	ENSG00000160014
HGNC:1450	symbol withdrawn, see [HGNC:1443](/data/gene-symbol-report/#!/hgnc_id/HGNC:1443)	
HGNC:1451	symbol withdrawn, see [HGNC:1442](/data/gene-symbol-report/#!/hgnc_id/HGNC:1442)	
HGNC:1452	calmodulin like 3	ENSG00000178363
HGNC:44682	CALML3 antisense RNA 1	ENSG00000205488
HGNC:18445	calmodulin like 4	ENSG00000129007
HGNC:18180	calmodulin like 5	ENSG00000178372
HGNC:24193	calmodulin like 6	ENSG00000169885
HGNC:13248	calneuron 1	ENSG00000183166
HGNC:1453	symbol withdrawn, see [HGNC:9314](/data/gene-symbol-report/#!/hgnc_id/HGNC:9314)	
HGNC:1454	symbol withdrawn, see [HGNC:9315](/data/gene-symbol-report/#!/hgnc_id/HGNC:9315)	
HGNC:1455	calreticulin	ENSG00000179218
HGNC:20407	calreticulin 3	ENSG00000269058
HGNC:35456	calreticulin 4, pseudogene	ENSG00000227742
HGNC:1456	symbol withdrawn, see [HGNC:1382](/data/gene-symbol-report/#!/hgnc_id/HGNC:1382)	
HGNC:1457	symbol withdrawn, see [HGNC:1867](/data/gene-symbol-report/#!/hgnc_id/HGNC:1867)	
HGNC:1458	calumenin	ENSG00000128595
HGNC:17938	calcyon neuron specific vesicular protein	ENSG00000130643
HGNC:1459	calcium/calmodulin dependent protein kinase I	ENSG00000134072
HGNC:19341	calcium/calmodulin dependent protein kinase ID	ENSG00000183049
HGNC:14585	calcium/calmodulin dependent protein kinase IG	ENSG00000008118
HGNC:1460	calcium/calmodulin dependent protein kinase II alpha	ENSG00000070808
HGNC:1461	calcium/calmodulin dependent protein kinase II beta	ENSG00000058404
HGNC:1462	calcium/calmodulin dependent protein kinase II delta	ENSG00000145349
HGNC:1463	calcium/calmodulin dependent protein kinase II gamma	ENSG00000148660
HGNC:24190	calcium/calmodulin dependent protein kinase II inhibitor 1	ENSG00000162545
HGNC:24197	calcium/calmodulin dependent protein kinase II inhibitor 2	ENSG00000163888
HGNC:1464	calcium/calmodulin dependent protein kinase IV	ENSG00000152495
HGNC:1465	symbol withdrawn, see [HGNC:1460](/data/gene-symbol-report/#!/hgnc_id/HGNC:1460)	
HGNC:1466	symbol withdrawn, see [HGNC:1461](/data/gene-symbol-report/#!/hgnc_id/HGNC:1461)	
HGNC:1467	symbol withdrawn, see [HGNC:1462](/data/gene-symbol-report/#!/hgnc_id/HGNC:1462)	
HGNC:1468	symbol withdrawn, see [HGNC:1463](/data/gene-symbol-report/#!/hgnc_id/HGNC:1463)	
HGNC:1469	calcium/calmodulin dependent protein kinase kinase 1	ENSG00000004660
HGNC:1470	calcium/calmodulin dependent protein kinase kinase 2	ENSG00000110931
HGNC:26276	calmodulin-lysine N-methyltransferase	ENSG00000143919
HGNC:28788	CaM kinase like vesicle associated	ENSG00000164076
HGNC:1471	calcium modulating ligand	ENSG00000164615
HGNC:1472	cathelicidin antimicrobial peptide	ENSG00000164047
HGNC:19946	calmodulin regulated spectrin associated protein 1	ENSG00000130559
HGNC:29188	calmodulin regulated spectrin associated protein family member 2	ENSG00000118200
HGNC:29307	calmodulin regulated spectrin associated protein family member 3	ENSG00000076826
HGNC:18806	calmodulin binding transcription activator 1	ENSG00000171735
HGNC:40856	CAMTA1 antisense RNA 1	ENSG00000225126
HGNC:40855	CAMTA1 antisense RNA 2	ENSG00000237728
HGNC:53020	CAMTA1 divergent transcript	ENSG00000237436
HGNC:41446	CAMTA1 intronic transcript 1	ENSG00000237402
HGNC:18807	calmodulin binding transcription activator 2	ENSG00000108509
HGNC:55342	CAMTA2 antisense RNA 1	
HGNC:30688	cullin associated and neddylation dissociated 1	ENSG00000111530
HGNC:30689	cullin associated and neddylation dissociated 2 (putative)	ENSG00000144712
HGNC:20683	candidiasis, nail 1 (with ICAM1 deficiency)	
HGNC:19721	calcium activated nucleotidase 1	ENSG00000171302
HGNC:1473	calnexin	ENSG00000127022
HGNC:20040	cyclase associated actin cytoskeleton regulatory protein 1	ENSG00000131236
HGNC:31134	CAP1 pseudogene 1	ENSG00000240809
HGNC:31970	CAP1 pseudogene 2	ENSG00000232004
HGNC:20039	cyclase associated actin cytoskeleton regulatory protein 2	ENSG00000112186
HGNC:20142	cyclase associated actin cytoskeleton regulatory protein 2 pseudogene 1	ENSG00000259151
HGNC:1474	capping actin protein, gelsolin like	ENSG00000042493
HGNC:1475	symbol withdrawn, see [HGNC:10494](/data/gene-symbol-report/#!/hgnc_id/HGNC:10494)	
HGNC:1476	calpain 1	ENSG00000014216
HGNC:1479	calpain 2	ENSG00000162909
HGNC:1480	calpain 3	ENSG00000092529
HGNC:1482	calpain 5	ENSG00000149260
HGNC:1483	calpain 6	ENSG00000077274
HGNC:1484	calpain 7	ENSG00000131375
HGNC:1485	calpain 8	ENSG00000203697
